"CALLERTYPE","CITY","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","DESCRIPTION","EXPLANATION","GROUP","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBADDRESS","PROBADDTYPE","PROBLEMCODE","PROBZIP","REQUESTID","SRX","SRY","STATUS","SUBMITTO","WARD"
"","","","2009-01-15 00:00:00.0","2009-01-15 09:33:01.0","2009-01-14 05:52:42.0","Light(s) Out","","Street Lights","76","Street light(s) out","2009-01-20 00:00:00.0","LENORA & MIMIKA","A","Light(s) Out","","11688","890357.00000000","1047204.00000000","CLOSED","TRAFFIC DIVISION, 511","27"
"","St. Louis","","2009-03-30 00:00:00.0","2009-03-30 09:23:20.0","2009-01-14 08:42:54.0","Derelict Vehicle - Private Property","","Vehicles","59","Derelict vehicle on private property","2009-02-13 00:00:00.0","3501 UNIVERSITY ST","B","Derelict-Privt Ppty","63107","11707","900369.00000000","1027708.00000000","CLOSED","NST,","03"
"","","","2009-01-20 00:00:00.0","2009-01-21 14:51:34.0","2009-01-14 14:55:29.0","Containr damaged","If you have a roll-out container, please leave it in the street until a Refuse maintenance crew comes to make repairs.","Graffiti","03","Container is damaged/has graffiti","2009-01-23 00:00:00.0","3657 BATES","A","Containr damaged","","11932","889998.00000000","996238.00000000","CLOSED","REFUSE,","13"
"","St. Louis","","2022-02-24 15:13:24.25","2022-02-24 15:13:24.25","2009-01-15 12:48:10.0","Enforce Ordinace","","Animals","05","Pet owner is not complying with animal laws","2009-01-27 00:00:00.0","4411 ELLENWOOD AV","B","Enforce Ordinace","","12113","886310.00000000","1002565.00000000","CLOSED","ANIMAL CARE,","14"
"","","","2009-01-20 00:00:00.0","2009-01-23 16:06:41.0","2009-01-16 11:15:28.0","water running (but not from vacant building)","","Water","57","Water visibly coming up from street","2009-01-30 00:00:00.0","1713 BILLUPS","B","WTR-COMING-UP","","12318","893650.00000000","1028183.00000000","CLOSED","WATER DIV,","04"
"","","","2009-01-22 00:00:00.0","2009-01-23 15:42:58.0","2009-01-20 10:32:47.0","Requires caller name and number","","Prpty Insp Interior","09","Mold in building","2009-02-09 00:00:00.0","6659 WINONA","B","Mold, Interior","","12585","875495.00000000","1005170.00000000","CLOSED","COMM SANITATION,","23"
"","","2009-01-20 11:34:22.0","2009-01-20 00:00:00.0","","2009-01-20 11:12:01.0","Light(s) Out","","Street Lights","38","Street light(s) out","2009-01-23 00:00:00.0","5297 WASHINGTON PL","B","Light(s) Out","","12604","884962.00000000","1026245.00000000","CANCEL","TRAFFIC DIVISION, 511","28"
"","","","2009-01-22 00:00:00.0","2009-01-28 15:23:52.0","2009-01-20 14:47:52.0","Vacant Building, Unsecured","","Prpty Insp Exterior","50","Vacant building needs to be boarded up","2009-02-09 00:00:00.0","5550 PALM","B","Vacnt Bldg Unsecured","","12742","886953.00000000","1037044.00000000","CLOSED","BUILDING DIV,","22"
"","","","2022-03-05 18:09:59.427","2022-03-05 18:09:59.427","2009-01-21 15:12:27.0","Bats","","Animals","76","Bats reported in living area","2009-01-28 00:00:00.0","5910 GARESCHE","B","Bats","","13109","890156.00000000","1044756.00000000","CLOSED","ANIMAL CARE,","27"
"","","","2009-04-17 00:00:00.0","2009-04-17 13:14:57.0","2009-01-22 08:45:40.0","Derelict Vehicle - Right of Way","","Vehicles","68","Derelict vehicle in the street","2009-02-11 00:00:00.0","4121 PENROSE","B","Derelict-Rt of Way","","13174","898567.00000000","1033828.00000000","CLOSED","NST,","21"
"","","","2010-04-05 00:00:00.0","2010-04-05 08:30:13.0","2009-01-22 11:03:23.0","Root Removal","","Trees","15","Request city tree roots trimming","2009-02-23 00:00:00.0","4256 MIAMI","B","Root Removal","","13282","888360.00000000","1005046.00000000","CLOSED","FORESTRY,","10"
"","","","2022-03-05 18:10:42.993","2022-03-05 18:10:42.993","2009-01-22 12:04:06.0","Stray Animal","test3","Animals","","Stray animal in the area.","2009-02-02 00:00:00.0","2 N JEFFERSON AV","B","Stray Animal","","13330","","","CLOSED","ANIMAL CARE,",""
"","St. Louis","","2010-04-19 00:00:00.0","2010-04-19 16:25:05.0","2009-01-22 14:09:13.0","Derelict Vehicle - Private Property","","Vehicles","73","Derelict vehicle on private property","2009-02-23 00:00:00.0","8559 MORA LN","B","Derelict-Privt Ppty","","13405","891774.00000000","1049619.00000000","CLOSED","NST,","02"
"","","","2009-09-01 00:00:00.0","2009-09-01 15:16:40.0","2009-01-23 13:39:14.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","01","Inspect city tree","2009-02-12 00:00:00.0","5509 VERMONT","A","Inspect City Tree","","13783","892380.00000000","994960.00000000","CLOSED","FORESTRY,","25"
"","","","2009-09-01 00:00:00.0","2009-09-01 15:16:40.0","2009-01-23 13:39:14.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","01","Inspect city tree","2009-02-12 00:00:00.0","5509 VERMONT","A","Inspect City Tree","","13783","892380.00000000","994960.00000000","CLOSED","FORESTRY,","25"
"","","","2009-01-27 00:00:00.0","2009-01-28 12:35:28.0","2009-01-26 09:38:11.0","Debris-alley/street","","Trash/Debris","52","Debris dumped in the street or alley","2009-02-04 00:00:00.0","5221 PAULIAN PL","B","Debris-alley/street","63113","13974","887129.68400000","1031470.78300000","CLOSED","REFUSE,","01"
"","","","2009-01-27 00:00:00.0","2009-01-27 08:22:50.0","2009-01-26 09:56:58.0","Raw Garbage, Ext","","Trash/Debris","52","Raw garbage on property","2009-02-13 00:00:00.0","5221 PAULIAN PL","B","Raw Garbage, Ext","63113","13981","887129.68400000","1031470.78300000","CLOSED","COMM SANITATION,","01"
"","","","2009-01-27 00:00:00.0","2009-01-27 07:39:36.0","2009-01-26 14:43:16.0","Stray Animal","test3","Animals","52","Stray animal in the area.","2009-02-04 00:00:00.0","5144 LOTUS","B","Stray Animal","","14156","887887.00000000","1032045.00000000","CLOSED","ANIMAL CARE,","18"
"","","","2009-03-30 00:00:00.0","2009-03-30 09:22:30.0","2009-01-27 08:55:32.0","Derelict Vehicle - Right of Way","","Vehicles","72","Derelict vehicle in the street","2009-02-17 00:00:00.0","5500 WREN","B","Derelict-Rt of Way","","14318","892338.00000000","1044309.00000000","CLOSED","NST,","27"
"","","","2022-03-05 18:11:25.26","2022-03-05 18:11:25.26","2009-01-27 10:18:31.0","Enforce Ordinace","","Animals","","Pet owner is not complying with animal laws","2009-02-05 00:00:00.0","7040 ETZEL","B","Enforce Ordinace","","14358","","","CLOSED","ANIMAL CARE,",""
"WEB","","","2009-01-29 00:00:00.0","2009-01-29 09:31:09.0","2009-01-27 10:18:51.0","Sidewalk Repair","","Disability Issues","21","Inspect sidewalk/request to be added to 50-50 sidewalk repair program","2009-02-02 00:00:00.0","1014 ALLEN","A","Sidewalk Repair","","14359","903964.00000000","1010377.00000000","CLOSED","STREET DEPT, 510","07"
"","St. Louis","","2022-03-05 18:12:09.65","2022-03-05 18:12:09.65","2009-01-28 10:42:12.0","Stray Animal","test3","Animals","74","Stray animal in the area.","2009-02-06 00:00:00.0","435 ANTELOPE ST","B","Stray Animal","","14605","897680.00000000","1046190.00000000","CLOSED","ANIMAL CARE,","02"
"","","","2009-01-29 11:33:00.0","2014-12-03 11:33:11.75","2009-01-29 09:11:39.0","Requires caller name and number","","Prpty Insp Interior","","Mold in building","2009-02-19 00:00:00.0","","B","Mold, Interior","","14799","","","CLOSED","COMM SANITATION,",""
"","","","2009-02-04 00:00:00.0","2009-02-04 11:07:53.0","2009-01-29 09:43:19.0","Sign needs attention","Select this option for non-critical signs (street cleaning, no parking, etc.)","Street Sign/Painting","05","Traffic sign needs repair","2009-02-03 00:00:00.0","4185 WALSH","A","Sign needs attention","","14814","887255.00000000","999730.00000000","CLOSED","TRAFFIC DIVISION, 511","14"
"","","","2009-02-04 00:00:00.0","2009-02-04 11:07:53.0","2009-01-29 09:43:19.0","Sign needs attention","Select this option for non-critical signs (street cleaning, no parking, etc.)","Street Sign/Painting","05","Traffic sign needs repair","2009-02-03 00:00:00.0","4185 WALSH","A","Sign needs attention","","14814","887255.00000000","999730.00000000","CLOSED","TRAFFIC DIVISION, 511","14"
"","","","2009-02-06 00:00:00.0","2009-02-06 07:30:21.0","2009-01-29 10:04:25.0","IF >5, NOTIFY ACC BY PHONE","test3","Animals","50","Stray animal in the area.","2009-02-09 00:00:00.0","2800 BURD","B","Stray Animal","","14826","886096.00000000","1035078.00000000","CLOSED","ANIMAL CARE,","22"
"","St. Louis","","2009-04-01 00:00:00.0","2017-05-18 15:28:13.333","2009-01-29 11:43:51.0","Derelict Vehicle - Right of Way","","Vehicles","59","Derelict vehicle in the street","2009-02-19 00:00:00.0","3700 NATURAL BRIDGE AVE","B","Derelict-Rt of Way","63107","14848","900470.00000000","1029897.00000000","CLOSED","NST,","03"
"","","","2009-02-02 11:33:00.0","2014-12-03 11:33:47.543","2009-01-30 15:01:57.0","Community Sanitations (Health)","","Miscellaneous","19","Misc request to Community Sanitation Division","2009-02-20 00:00:00.0","3410 MIAMI","B","Misc-Comm Sanitation","","15135","894412.00000000","1004220.00000000","CLOSED","COMM SANITATION,","20"
"","St. Louis","","2022-03-05 18:12:46.06","2022-03-05 18:12:46.06","2009-02-03 12:20:19.0","Animal(s) Surrender","","Animals","16","Citizen wishes to surrender animal","2009-02-12 00:00:00.0","3606-8 MONTANA ST","B","Animal(s) Surrender","63116","15642","893100.00000000","1001312.00000000","CLOSED","ANIMAL CARE,","25"
"","St. Louis","2020-12-30 20:37:25.0","2009-02-04 00:00:00.0","","2009-02-04 10:44:28.0","Debris-Vacant Bldg","","Trash/Debris","02","Debris around a vacant building","2009-02-13 00:00:00.0","8117 REILLY AVE","B","Debris-Vacant Bldg","63111","15773","888897.18800000","986179.50400000","CANCEL","FORESTRY,","11"
"","","","2009-03-10 00:00:00.0","2009-03-10 08:16:22.0","2009-02-05 11:23:47.0","Property Maintenance Code - Exterior","","Prpty Insp Comml","16","Inspect for exterior building code violations","2009-02-26 00:00:00.0","3852 VIRGINIA","B","Ppty Maint Code-Ext","","16035","894678.00000000","1002366.00000000","CLOSED","BUILDING DIV,","20"
"","","","2009-03-10 00:00:00.0","2009-03-10 08:16:22.0","2009-02-05 11:23:47.0","Property Maintenance Code - Exterior","","Prpty Insp Comml","16","Inspect for exterior building code violations","2009-02-26 00:00:00.0","3852 VIRGINIA","B","Ppty Maint Code-Ext","","16035","894678.00000000","1002366.00000000","CLOSED","BUILDING DIV,","20"
"","","","2009-02-09 00:00:00.0","2009-02-12 09:43:38.0","2009-02-06 09:54:16.0","Containr damaged","If you have a roll-out container, please leave it in the street until a Refuse maintenance crew comes to make repairs.","Graffiti","16","Container is damaged/has graffiti","2009-02-11 00:00:00.0","3200 CHIPPEWA","B","Containr damaged","","16255","894938.00000000","1002799.00000000","CLOSED","REFUSE,","20"
"","","","2009-02-09 00:00:00.0","2009-02-12 09:43:38.0","2009-02-06 09:54:16.0","Containr damaged","If you have a roll-out container, please leave it in the street until a Refuse maintenance crew comes to make repairs.","Graffiti","16","Container is damaged/has graffiti","2009-02-11 00:00:00.0","3200 CHIPPEWA","B","Containr damaged","","16255","894938.00000000","1002799.00000000","CLOSED","REFUSE,","20"
"","","","2009-02-09 00:00:00.0","2009-02-09 09:33:56.0","2009-02-06 11:03:28.0","Light(s) Out","","Street Lights","05","Street light(s) out","2009-02-11 00:00:00.0","4455 RIDGEWOOD","B","Light(s) Out","","16286","885543.00000000","1003078.00000000","CLOSED","TRAFFIC DIVISION, 511","14"
"","","","2009-02-11 00:00:00.0","2009-02-11 10:23:09.0","2009-02-06 12:48:58.0","Illegal Use, Open Storage","Any zoning code violations, including derelict vehicles, appliances, etc. on private property","Prpty Insp Exterior","04","Inspect for violation of zoning code (including open storage)","2009-02-27 00:00:00.0","4665 ALLEMANIA","B","Illegl Use-Opn Storg","","16316","880605.00000000","993516.00000000","CLOSED","BUILDING DIV,","12"
"","St. Louis","","2009-02-09 00:00:00.0","2009-02-10 15:57:41.0","2009-02-06 16:08:37.0","Debris-alley/street","","Trash/Debris","25","Debris dumped in the street or alley","2009-02-18 00:00:00.0","3456 HARTFORD ST","B","Debris-alley/street","63118","16438","894525.82300000","1007873.63400000","CLOSED","REFUSE,","08"
"","St. Louis","","2022-03-05 18:13:17.183","2022-03-05 18:13:17.183","2009-02-09 10:27:31.0","Animal(s) Surrender","","Animals","72","Citizen wishes to surrender animal","2009-02-19 00:00:00.0","5026 ROBIN AVE","B","Animal(s) Surrender","63120","16592","890250.00000000","1043234.00000000","CLOSED","ANIMAL CARE,","27"
"","","","2009-02-12 00:00:00.0","2009-02-12 16:36:49.0","2009-02-12 04:30:10.0","Completely out","","Traffic Signal","05","Traffic signal is completely out","2009-02-18 00:00:00.0","BATES & GRAVOIS","A","Signal Dark","","17451","885379.00000000","999340.00000000","CLOSED","TRAFFIC DIVISION, 511","13"
"","","","2009-02-18 00:00:00.0","2009-02-18 09:49:17.0","2009-02-12 10:43:31.0","Curb Repair","","Right of Way Issues","50","Curb repair","2009-02-20 00:00:00.0","5643 TERRY","B","Curb Repair","","17609","885232.00000000","1035562.00000000","CLOSED","STREET DEPT, 510","22"
"","","2009-02-17 15:43:58.0","","","2009-02-12 11:06:24.0","Derelict Vehicle - Private Property","","Vehicles","22","Derelict vehicle on private property","2009-03-16 00:00:00.0","3300 S JEFFERSON","B","Derelict-Privt Ppty","","17627","898849.00000000","1005333.00000000","CANCEL","NST,","09"
"","St. Louis","","2009-09-01 00:00:00.0","2009-09-01 15:18:18.0","2009-02-12 11:49:17.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","56","Inspect city tree","2009-03-05 00:00:00.0","4105 W LEXINGTON AV","B","Inspect City Tree","","17646","897387.00000000","1031368.00000000","CLOSED","FORESTRY,","21"
"","St. Louis","","2009-02-24 00:00:00.0","2009-02-24 12:07:14.0","2009-02-12 15:05:11.0","Illegal Use, Open Storage","Any zoning code violations, including derelict vehicles, appliances, etc. on private property","Prpty Insp Exterior","58","Inspect for violation of zoning code (including open storage)","2009-03-05 00:00:00.0","3954 ENRIGHT","B","Illegl Use-Opn Storg","63108","17736","894734.00000000","1023732.00000000","CLOSED","BUILDING DIV,","18"
"","","","2009-03-10 00:00:00.0","2009-03-10 11:00:38.0","2009-02-13 09:37:46.0","Traffic and Lighting Division","","Street Sign/Painting","35","Misc request to Traffic Division","2009-03-06 00:00:00.0","N 7TH ST & OLIVE ST","A","Misc-Traffic Div","","17897","908394.57700000","1017767.55800000","CLOSED","TRAFFIC DIVISION, 511","07"
"","","","2009-04-01 00:00:00.0","2009-04-01 16:09:19.0","2009-02-13 14:35:06.0","Derelict Vehicle - Private Property","","Vehicles","74","Derelict vehicle on private property","2009-03-17 00:00:00.0","915 CANAAN","B","Derelict-Privt Ppty","","18068","896488.00000000","1051408.00000000","CLOSED","NST,","02"
"","","","2009-02-17 11:31:00.0","2014-12-03 11:31:40.237","2009-02-13 15:06:07.0","Raw Garbage, Ext","","Trash/Debris","29","Raw garbage on property","2009-03-09 00:00:00.0","3801 SPRING","B","Raw Garbage, Ext","","18090","894010.00000000","1015927.00000000","CLOSED","COMM SANITATION,","17"
"","","","2009-02-24 00:00:00.0","2009-02-24 08:35:47.0","2009-02-13 15:12:48.0","Caller Contact Info Required","","Prpty Insp Interior","05","","2009-03-06 00:00:00.0","4237 BEETHOVEN","B","Overcrowding","","18094","887653.00000000","1002845.00000000","CLOSED","BUILDING DIV,","14"
"","","","2009-02-24 00:00:00.0","2009-02-24 08:35:47.0","2009-02-13 15:12:48.0","Caller Contact Info Required","","Prpty Insp Interior","05","","2009-03-06 00:00:00.0","4237 BEETHOVEN","B","Overcrowding","","18094","887653.00000000","1002845.00000000","CLOSED","BUILDING DIV,","14"
"","","","2009-02-27 00:00:00.0","2009-02-27 09:51:40.0","2009-02-13 16:41:40.0","Debris-Occupied Bldg","","Trash/Debris","06","Debris on an occupied property","2009-03-06 00:00:00.0","5200 QUINCY","B","Debris-Occupied Bldg","","18115","880504.00000000","996810.00000000","CLOSED","FORESTRY,","12"
"","St. Louis","","2009-09-01 00:00:00.0","2009-09-01 15:18:34.0","2009-02-17 09:34:44.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","07","Inspect city tree","2009-03-09 00:00:00.0","5038 LANSDOWNE AV","B","Inspect City Tree","","18301","883253.00000000","1002995.00000000","CLOSED","FORESTRY,","14"
"","","","2022-03-05 18:13:38.467","2022-03-05 18:13:38.467","2009-02-17 10:56:37.0","Animal(s) Surrender","","Animals","11","Citizen wishes to surrender animal","2009-02-26 00:00:00.0","6004 MARMADUKE","B","Animal(s) Surrender","","18355","880156.00000000","1011002.00000000","CLOSED","ANIMAL CARE,","24"
"","","","2009-02-27 00:00:00.0","2009-02-27 15:12:09.0","2009-02-17 13:04:04.0","Containr damaged","If you have a roll-out container, please leave it in the street until a Refuse maintenance crew comes to make repairs.","Graffiti","48","Container is damaged/has graffiti","2009-02-26 00:00:00.0","5933 CATES","B","Containr damaged","","18464","879832.00000000","1028683.00000000","CLOSED","REFUSE,","26"
"","St. Louis","","2022-03-05 18:14:11.733","2022-03-05 18:14:11.733","2009-02-17 13:31:38.0","NOTIFY ACC BY PHONE","","Animals","65","Report a dangerous animal","2009-02-24 00:00:00.0","2117-9 SALISBURY ST","B","Dangerous Animal","63107","18477","904554.00000000","1029218.00000000","CLOSED","ANIMAL CARE,","03"
"","","2009-02-19 12:03:53.0","","","2009-02-18 15:42:03.0","Derelict Vehicle - Private Property","","Vehicles","","Derelict vehicle on private property","2009-03-19 00:00:00.0","","B","Derelict-Privt Ppty","","18900","","","CANCEL","NST,",""
"","","","2009-02-20 00:00:00.0","2009-02-20 08:52:45.0","2009-02-18 16:22:45.0","Sign needs attention","Select this option for non-critical signs (street cleaning, no parking, etc.)","Street Sign/Painting","13","Traffic sign needs repair","2009-04-01 00:00:00.0","5607 MAGNOLIA","B","Sign needs attention","","18922","882448.00000000","1011399.00000000","CLOSED","TRAFFIC DIVISION, 511","10"
"EMAIL","","","2009-02-25 00:00:00.0","2009-03-06 10:57:37.0","2009-02-19 09:34:52.0","Graffiti-Public","","Graffiti","27","Graffiti on public property","2009-03-11 00:00:00.0","2309 THURMAN","B","Graffiti-Public","","19007","891164.00000000","1011181.00000000","CLOSED","OP BRIGHTSIDE,","08"
"","","","2022-03-05 18:14:41.11","2022-03-05 18:14:41.11","2009-02-19 13:14:55.0","Animal(s) Surrender","","Animals","69","Citizen wishes to surrender animal","2009-03-02 00:00:00.0","4652 KORTE","B","Animal(s) Surrender","","19146","895669.00000000","1036734.00000000","CLOSED","ANIMAL CARE,","21"
"","","","2009-02-27 00:00:00.0","2009-02-27 14:15:47.0","2009-02-19 15:19:36.0","Property Maintenance Code - Exterior","","Prpty Insp Comml","19","Inspect for exterior building code violations","2009-03-11 00:00:00.0","3501 PENNSYLVANIA AVE","B","Ppty Maint Code-Ext","63118","19191","896186.31000000","1004660.24400000","CLOSED","BUILDING DIV,","20"
"","","","2009-04-01 00:00:00.0","2009-04-01 16:10:03.0","2009-02-19 16:50:46.0","Derelict Vehicle - Right of Way","","Vehicles","74","Derelict vehicle in the street","2009-03-11 00:00:00.0","1039 WALL","B","Derelict-Rt of Way","","19250","896119.00000000","1051120.00000000","CLOSED","NST,","02"
"","","","2009-02-23 00:00:00.0","2009-02-23 12:43:01.0","2009-02-20 13:10:15.0","Light(s) Out","","Street Lights","27","Street light(s) out","2009-02-25 00:00:00.0","2233 SPRING","B","Light(s) Out","","19473","893490.00000000","1011234.00000000","CLOSED","TRAFFIC DIVISION, 511","08"
"","","","2022-03-05 18:15:08.533","2022-03-05 18:15:08.533","2009-02-23 10:19:41.0","Animal(s) Surrender","","Animals","70","Citizen wishes to surrender animal","2009-03-04 00:00:00.0","3901 UNION","B","Animal(s) Surrender","","19753","888368.00000000","1037588.00000000","CLOSED","ANIMAL CARE,","22"
"EMAIL","","","2009-02-26 00:00:00.0","2009-02-26 09:43:31.0","2009-02-24 08:16:23.0","Debris-Occupied Bldg","","Trash/Debris","73","Debris on an occupied property","2009-03-16 00:00:00.0","1817 MCLARAN","B","Debris-Occupied Bldg","","19970","891596.00000000","1050587.00000000","CLOSED","FORESTRY,","27"
"","","","2009-02-26 00:00:00.0","2009-02-26 13:51:25.0","2009-02-24 13:46:56.0","Sign needs attention","Select this option for non-critical signs (street cleaning, no parking, etc.)","Street Sign/Painting","01","Traffic sign needs repair","2009-02-27 00:00:00.0","7100 MINNESOTA ","A","Sign needs attention","","20183","890051.00000000","990035.00000000","CLOSED","TRAFFIC DIVISION, 511","11"
