"CALLERTYPE","CITY","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","DESCRIPTION","EXPLANATION","GROUP","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBADDRESS","PROBADDTYPE","PROBLEMCODE","PROBZIP","REQUESTID","SRX","SRY","STATUS","SUBMITTO","WARD"
"","","","2008-12-07 00:00:00.0","2008-12-07 01:43:04.0","2008-12-07 00:13:38.0","Signal Damaged","","Traffic Signal","35","Traffic signal damaged or facing wrong way","2008-12-11 00:00:00.0","N 7TH ST & OLIVE ST","A","Signal Damaged","","7315","908394.57700000","1017767.55800000","CLOSED","TRAFFIC DIVISION, 511","07"
"","","2008-12-31 14:58:43.0","1900-01-01 00:00:00.0","","2008-12-10 14:49:46.0","Debris-Vacant Lot","","Trash/Debris","67","Debris on a vacant lot","2008-12-30 00:00:00.0","4313 DESOTO ","B","Debris-Vacant Lot","","7574","901132.00000000","1033249.00000000","CANCEL","FORESTRY,","03"
"","","2008-12-31 14:58:43.0","2008-12-11 00:00:00.0","2009-12-28 10:51:54.0","2008-12-10 15:07:44.0","Debris-Vacant Lot","","Trash/Debris","65","Debris on a vacant lot","2008-12-30 00:00:00.0","1417 ANGELICA","B","Debris-Vacant Lot","","7582","905169.00000000","1031484.00000000","CANCEL","FORESTRY,","03"
"","St. Louis","2008-12-31 14:58:43.0","1900-01-01 00:00:00.0","","2008-12-10 17:14:59.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","","Inspect city tree","2008-12-30 00:00:00.0","4000 SHAW AV","B","Inspect City Tree","63110","7612","","","CANCEL","FORESTRY,",""
"","","","2009-01-09 00:00:00.0","2013-03-06 03:38:03.0","2008-12-17 09:01:15.0","Street Division","","Miscellaneous","68","Misc request to Street Division","2009-01-09 00:00:00.0","WARNE & KOSSUTH","A","Misc-Street Div","","7999","899571.00000000","1032269.00000000","CLOSED","STREET DIVISION, 514","21"
"","St. Louis","","","2014-04-07 14:21:48.437","2008-12-17 12:26:42.0","Fire Department/EMS","","Miscellaneous","50","Misc request to Fire/EMS","2009-01-09 00:00:00.0","2747 GOODFELLOW BLVD","B","Misc-Fire/EMS Dept","","8040","884252.00000000","1035834.00000000","CLOSED","FIRE DEPT,","22"
"","","","2009-01-02 00:00:00.0","2014-12-03 11:10:29.033","2008-12-19 14:13:30.0","Dead Animal, Ext","","Prpty Insp Exterior","36","","2009-01-13 00:00:00.0","1200 LOCUST","B","Dead Animal, Ext","","8265","906550.00000000","1018455.00000000","CLOSED","COMM SANITATION,","07"
"","","2009-01-05 09:50:35.0","2009-01-02 00:00:00.0","2009-01-02 09:30:40.0","2008-12-22 13:02:06.0","Building collapse","","Prpty Insp Exterior","27","Building collapsed","2008-12-25 00:00:00.0","3854 FLAD","B","Building Collapse","","8421","892949.00000000","1011623.00000000","CANCEL","BUILDING DIV,","08"
"","","","2008-12-23 00:00:00.0","2008-12-23 10:42:59.0","2008-12-23 05:55:49.0","Light Damaged","Street light damaged, including any damage to light assembly, pole, electrical issue, or pole mount that isn't covered within other categories.","Street Lights","38","Street light damaged","2009-01-02 00:00:00.0","LINDELL & UNION","A","Light Damaged","","8479","884568.00000000","1023787.00000000","CLOSED","TRAFFIC DIVISION, 511","28"
"","","2009-01-02 14:05:03.0","1900-01-01 00:00:00.0","","2008-12-23 10:56:35.0","Derelict Vehicle - Private Property","","Vehicles","27","Derelict vehicle on private property","2009-01-27 00:00:00.0","4000 RUSSELL","B","Derelict-Privt Ppty","","8519","892093.00000000","1012501.00000000","CANCEL","NST,","08"
"","St. Louis","2009-01-02 14:05:03.0","1900-01-01 00:00:00.0","","2008-12-29 11:49:25.0","Derelict Vehicle - Private Property","","Vehicles","27","Derelict vehicle on private property","2009-01-29 00:00:00.0","3623-5 CLEVELAND AV","B","Derelict-Privt Ppty","63110","8798","894113.00000000","1011209.00000000","CANCEL","NST,","08"
"","","","2008-12-30 11:12:00.0","2014-12-03 11:12:24.663","2008-12-29 14:24:45.0","Requires caller name and number","","Prpty Insp Interior","38","Roaches inside building","2009-01-20 00:00:00.0","4399 FOREST PARK BLVD","B","Roach Infestn, Int","","8830","890245.00000000","1021300.00000000","CLOSED","COMM SANITATION,","17"
"","","","2008-12-30 11:12:00.0","2014-12-03 11:13:03.383","2008-12-29 14:26:28.0","Requires caller name and number","","Prpty Insp Interior","16","No heat in building","2008-12-31 00:00:00.0","3444 DELOR ","B","No Heat, Int","","8832","892276.00000000","996958.00000000","CLOSED","COMM SANITATION,","13"
"","","","2008-12-30 11:14:00.0","2014-12-03 11:14:37.463","2008-12-29 14:32:08.0","Requires caller name and number","","Prpty Insp Interior","25","Mold in building","2009-01-20 00:00:00.0","2922 S COMPTON ","B","Mold, Interior","","8835","895979.00000000","1008472.00000000","CLOSED","COMM SANITATION,","06"
"","","","2008-12-30 00:00:00.0","2014-12-03 11:21:56.303","2008-12-29 14:35:04.0","Unsanitary Pets, Ext","","Prpty Insp Exterior","25","Unsanitary keeping of pets/feces in yard not picked up","2009-01-20 00:00:00.0","3005 VIRGINIA","B","Unsanitary Pets, Ext","","8837","895443.00000000","1008404.00000000","CLOSED","COMM SANITATION,","06"
"","","","2008-12-30 11:22:00.0","2014-12-03 11:22:29.25","2008-12-29 14:38:40.0","Swim Pool Insp, Ext","","Prpty Insp Exterior","25","Inspect outdoor swimming pool","2009-01-20 00:00:00.0","2918 S COMPTON ","B","Swim Pool Insp, Ext","","8841","895984.00000000","1008509.00000000","CLOSED","COMM SANITATION,","06"
"","St. Louis","","2008-12-30 12:13:00.0","2014-12-03 12:13:56.29","2008-12-29 14:42:32.0","Requires caller name and number","","Prpty Insp Interior","37","No hot water in building","2009-01-20 00:00:00.0","3400-50 LINDELL BLVD","B","No Hot Water, Int","63103","8843","897460.00000000","1020613.00000000","CLOSED","COMM SANITATION,","19"
"","St. Louis","","2008-12-31 00:00:00.0","2014-12-04 10:39:31.853","2008-12-31 14:52:39.0","Wildlife","","Animals","","","2009-01-12 00:00:00.0","2120 GASCONADE STREET","B","Wildlife","63118","9125","","","CLOSED","ANIMAL CARE,",""
