"CALLERTYPE","CITY","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","DESCRIPTION","EXPLANATION","GROUP","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBADDRESS","PROBADDTYPE","PROBLEMCODE","PROBZIP","REQUESTID","SRX","SRY","STATUS","SUBMITTO","WARD"
"","","","2012-02-06 10:40:09.0","2012-02-06 10:40:34.0","2012-01-04 15:23:57.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","16","Inspect city tree","2012-01-25 00:00:00.0","3231 MOUNT PLEASANT ST","B","Inspect City Tree","","345255","893854.27000000","997811.82000000","CLOSED","FORESTRY,","25"
"","","","2012-01-06 09:43:21.0","2012-03-13 11:57:03.0","2012-01-05 08:46:38.0","Derelict Vehicle - Private Property","","Vehicles","44","Derelict vehicle on private property","2012-02-06 00:00:00.0","6768 WEST PARK AV ","B","Derelict-Privt Ppty","","345346","876367.00000000","1017579.00000000","CLOSED","NST,","24"
"","","2012-01-09 09:09:01.0","","","2012-01-05 09:48:16.0","Derelict Vehicle - Private Property","","Vehicles","","Derelict vehicle on private property","2012-02-06 00:00:00.0","","B","Derelict-Privt Ppty","","345409","","","CANCEL","NST,",""
"","St. Louis","","2017-11-27 08:51:53.0","2017-11-27 08:52:02.17","2012-01-05 11:23:09.0","Caller Name/# required","","Animals","16","Report stray cat(s)","2012-01-17 00:00:00.0","3635 GASCONADE ST","B","Stray Cat","63116","345466","892869.00000000","1001154.00000000","CLOSED","METRO ANIMAL,","25"
"","St. Louis","","2012-01-05 14:25:08.0","2012-02-23 16:51:07.0","2012-01-05 14:24:45.0","Debris-Occupied Bldg","","Trash/Debris","54","Debris on an occupied property","2012-01-26 00:00:00.0","4439 ENRIGHT AVE","B","Debris-Occupied Bldg","63108","345537","891349.00000000","1025902.00000000","CLOSED","FORESTRY,","18"
"","","","2012-01-12 11:26:08.0","2012-01-12 11:26:11.0","2012-01-06 12:13:32.0","Vacant Building, Unsecured","","Prpty Insp Exterior","63","Vacant building needs to be boarded up","2012-01-27 00:00:00.0","1400 PALM","B","Vacnt Bldg Unsecured","","345793","906490.00000000","1027412.00000000","CLOSED","BUILDING DIV,","03"
"","","","2012-10-01 14:09:39.0","2012-10-01 14:09:39.0","2012-01-06 14:09:49.0","Short Term Initiativ","","NSO Initiatives","06","","2012-09-26 00:00:00.0","6450 KINGSHIGHWAY","B","Short Term Initiativ","","345897","882000.00000000","997500.00000000","CLOSED","NST,","13"
"","St. Louis","","2012-01-25 09:17:43.0","2012-01-25 09:18:15.0","2012-01-09 10:06:00.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2012-01-30 00:00:00.0","6050 ARCHWOOD LN","B","Inspect City Tree","","346199","873782.00000000","999532.00000000","CLOSED","FORESTRY,","16"
"","St. Louis","","2012-01-09 10:07:55.0","2012-01-09 10:08:17.0","2012-01-09 10:07:53.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","16","Inspect city tree","2012-01-30 00:00:00.0","3652-54 LIERMAN","B","Inspect City Tree","","346203","892584.00000000","1001649.00000000","CLOSED","FORESTRY,","25"
"","St. Louis","","2012-01-19 16:55:00.0","2012-01-19 16:55:17.0","2012-01-09 10:18:10.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","01","Inspect city tree","2012-01-30 00:00:00.0","5512 PENNSYLVANIA AVE","B","Inspect City Tree","","346213","893896.00000000","993855.00000000","CLOSED","FORESTRY,","11"
"","St. Louis","","2012-01-09 10:30:27.0","2012-01-09 10:30:52.0","2012-01-09 10:30:25.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","38","Inspect city tree","2012-01-30 00:00:00.0","4099 FOREST PARK AV","B","Inspect City Tree","","346231","892552.00000000","1020594.00000000","CLOSED","FORESTRY,","17"
"","St. Louis","","2012-01-09 10:31:21.0","2012-01-09 10:31:46.0","2012-01-09 10:31:19.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","38","Inspect city tree","2012-01-30 00:00:00.0","3949 FOREST PARK AV","B","Inspect City Tree","","346232","893301.00000000","1020396.00000000","CLOSED","FORESTRY,","17"
"","St. Louis","","2012-01-09 10:32:11.0","2012-01-09 10:32:32.0","2012-01-09 10:32:09.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","38","Inspect city tree","2012-01-30 00:00:00.0","3900 FOREST PARK AV","B","Inspect City Tree","","346234","893597.00000000","1019971.00000000","CLOSED","FORESTRY,","17"
"","St. Louis","","2012-01-09 10:34:02.0","2012-01-09 10:34:27.0","2012-01-09 10:34:00.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","46","Inspect city tree","2012-01-30 00:00:00.0","6132 WATERMAN","B","Inspect City Tree","","346239","877871.00000000","1025723.00000000","CLOSED","FORESTRY,","28"
"WEB","St. Louis","","2014-06-20 10:44:30.347","2014-06-20 10:44:30.347","2012-01-09 13:52:18.0","Vehicle-Rt of Way","","Vehicles","20","Vehicle (operable) illegally parked in right of way","2012-01-30 00:00:00.0","S BROADWAY & PARK AVE","A","Vehicle-Rt of Way","","346381","906916.00000000","1011889.00000000","CLOSED","TREAS PRKG SVC,","07"
"WEB","St. Louis","","2014-06-20 10:45:14.963","2014-06-20 10:45:14.963","2012-01-09 17:49:03.0","Vehicle-Rt of Way","","Vehicles","14","Vehicle (operable) illegally parked in right of way","2012-01-30 00:00:00.0","3274 JASPER PARK","B","Vehicle-Rt of Way","63139","346460","881619.00000000","1008052.00000000","CLOSED","TREAS PRKG SVC,","10"
"WEB","St. Louis","","2012-01-10 10:54:04.0","2012-01-24 10:55:01.0","2012-01-09 22:00:04.0","Comml Dumpster, Ext","","Prpty Insp Comml","19","Commercial dumpster overflowing","2012-01-31 00:00:00.0","3401-3  MIAMI ST","B","Comml Dumpster, Ext","63118","346483","894468.00000000","1004357.00000000","CLOSED","COMM SANITATION,","20"
"WEB","St. Louis","","2012-01-17 09:09:36.0","2012-01-17 09:09:36.0","2012-01-09 22:55:27.0","Enforce Ordinace","","Animals","73","Pet owner is not complying with animal laws","2012-01-30 00:00:00.0","1530 ETON LN","B","Enforce Ordinace","63147","346498","893123.00000000","1048633.00000000","CLOSED","ANIMAL CARE,","27"
"","St. Louis","","2012-01-10 09:03:17.0","2012-01-10 09:03:35.0","2012-01-10 09:03:15.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","13","Inspect city tree","2012-01-31 00:00:00.0","4607 SHENANDOAH","B","Inspect City Tree","","346547","887213.00000000","1012003.00000000","CLOSED","FORESTRY,","08"
"","St. Louis","","2012-01-10 09:51:39.0","2012-01-10 09:51:57.0","2012-01-10 09:51:37.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2012-01-31 00:00:00.0","6227 HANCOCK","B","Inspect City Tree","","346597","878608.00000000","1007668.00000000","CLOSED","FORESTRY,","23"
"","St. Louis","","2012-01-10 09:52:19.0","2012-01-10 09:52:36.0","2012-01-10 09:52:18.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2012-01-31 00:00:00.0","6218 HANCOCK","B","Inspect City Tree","","346598","878626.00000000","1007478.00000000","CLOSED","FORESTRY,","23"
"","St. Louis","","2012-01-10 09:53:02.0","2012-01-10 09:53:20.0","2012-01-10 09:52:59.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2012-01-31 00:00:00.0","6217 HANCOCK","B","Inspect City Tree","","346600","878696.00000000","1007657.00000000","CLOSED","FORESTRY,","23"
"","St. Louis","","2012-01-10 09:54:30.0","2012-01-10 09:54:57.0","2012-01-10 09:54:28.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2012-01-31 00:00:00.0","6229 HANCOCK","B","Inspect City Tree","","346602","878558.00000000","1007675.00000000","CLOSED","FORESTRY,","23"
"","","","2012-01-11 08:47:39.0","2012-01-17 12:49:37.0","2012-01-10 10:47:44.0","Caller Name/# preferred","","Animals","48","Report stray dog(s) roaming at large","2012-01-31 00:00:00.0","1265 AMHERST PL","B","Stray Dog At Large","","346620","880393.00000000","1032380.00000000","CLOSED","STRAY RESCUE,","22"
"","St. Louis","","2012-01-10 11:34:16.0","2012-01-10 11:34:37.0","2012-01-10 11:34:00.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2012-01-31 00:00:00.0","6224 HANCOCK","B","Inspect City Tree","","346652","878572.00000000","1007485.00000000","CLOSED","FORESTRY,","23"
"","St. Louis","","2012-01-10 12:18:01.0","2012-01-10 12:18:40.0","2012-01-10 12:17:59.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","06","Inspect city tree","2012-01-31 00:00:00.0","5750 MILENTZ","B","Inspect City Tree","","346688","879270.00000000","999949.00000000","CLOSED","FORESTRY,","12"
"","St. Louis","","2012-01-10 00:00:00.0","2012-01-12 18:48:18.0","2012-01-10 13:55:58.0","Light(s) Out","","Street Lights","77","Street light(s) out","2012-01-13 00:00:00.0","3701 GRANDEL SQUARE","B","Light(s) Out","","346742","896621.00000000","1022481.00000000","CLOSED","TRAFFIC DIVISION, 511","19"
"","","","2012-05-09 09:33:06.0","2013-05-06 11:10:19.0","2012-01-10 14:22:52.0","Excise Division","","Miscellaneous","42","Report problem with a liquor establishment","2012-01-31 00:00:00.0","1115 HAMPTON AVE","B","Misc-Excise","","346762","880909.00000000","1018022.00000000","CLOSED","EXCISE,","24"
"","","","2012-05-09 09:33:06.0","2013-05-06 11:10:19.0","2012-01-10 14:22:52.0","Excise Division","","Miscellaneous","42","Report problem with a liquor establishment","2012-01-31 00:00:00.0","1115 HAMPTON AVE","B","Misc-Excise","","346762","880909.00000000","1018022.00000000","CLOSED","EXCISE,","24"
"WEB","St. Louis","","2013-06-28 10:50:37.7","2013-06-28 10:50:37.7","2012-01-10 16:11:38.0","Caller Name/# required","","Animals","35","Report stray cat(s)","2012-01-20 00:00:00.0","610 N 2ND ST","B","Stray Cat","63102","346833","910387.00000000","1018250.00000000","CLOSED","METRO ANIMAL,","07"
"","St. Louis","","2012-01-11 10:14:42.0","2012-01-11 10:15:25.0","2012-01-11 10:14:40.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","35","Inspect city tree","2012-02-01 00:00:00.0","300 N TUCKER BLVD","B","Inspect City Tree","","346938","906808.00000000","1018452.00000000","CLOSED","FORESTRY,","07"
"","St. Louis","","2012-01-11 10:31:08.0","2012-01-11 10:31:22.0","2012-01-11 10:31:06.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","07","Inspect city tree","2012-02-01 00:00:00.0","4306 SULPHUR","B","Inspect City Tree","","346952","879800.00000000","1004108.00000000","CLOSED","FORESTRY,","16"
"","St. Louis","","2012-02-15 10:17:38.0","2012-02-21 11:59:29.0","2012-01-11 11:20:55.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","12","Inspect city tree","2012-02-01 00:00:00.0","5533 DUGAN AVE","B","Inspect City Tree","","346995","882562.00000000","1012350.00000000","CLOSED","FORESTRY,","10"
"","St. Louis","","2012-01-11 11:28:54.0","2012-01-11 11:29:19.0","2012-01-11 11:28:53.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","42","Inspect city tree","2012-02-01 00:00:00.0","6118 WEST PARK AV","B","Inspect City Tree","","347015","880651.00000000","1017035.00000000","CLOSED","FORESTRY,","24"
"","St. Louis","","2012-01-11 12:35:55.0","2012-01-11 12:36:18.0","2012-01-11 12:35:53.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","23","Inspect city tree","2012-02-01 00:00:00.0","2112 ALLEN","B","Inspect City Tree","","347065","900869.00000000","1011354.00000000","CLOSED","FORESTRY,","07"
"","","","2012-02-01 10:49:48.0","2012-02-01 10:49:48.0","2012-01-11 13:18:24.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","59","Inspect city tree","2012-02-01 00:00:00.0","3738 MAFFITT","B","Inspect City Tree","","347083","898743.00000000","1027580.00000000","CLOSED","FORESTRY,","03"
"","St. Louis","","2012-01-12 09:49:14.0","2012-01-12 09:49:27.0","2012-01-12 09:49:12.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","55","Inspect city tree","2012-02-02 00:00:00.0","4934 HIGHLAND","B","Inspect City Tree","","347290","889751.00000000","1031866.00000000","CLOSED","FORESTRY,","01"
"","St. Louis","","2012-01-12 09:53:31.0","2012-01-12 09:54:00.0","2012-01-12 09:53:29.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","51","Inspect city tree","2012-02-02 00:00:00.0","5092 RAYMOND","B","Inspect City Tree","","347298","887031.00000000","1028198.00000000","CLOSED","FORESTRY,","18"
"","St. Louis","","2012-01-12 10:00:54.0","2012-01-12 10:01:21.0","2012-01-12 10:00:52.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","53","Inspect city tree","2012-02-02 00:00:00.0","728 WALTON","B","Inspect City Tree","","347310","889407.00000000","1026698.00000000","CLOSED","FORESTRY,","18"
"","St. Louis","","2012-01-12 12:18:02.0","2012-01-12 12:25:26.0","2012-01-12 12:17:58.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","08","Inspect city tree","2012-02-02 00:00:00.0","4915 DONOVAN","B","Inspect City Tree","","347411","875947.00000000","1002843.00000000","CLOSED","FORESTRY,","16"
"","St. Louis","","2012-01-12 12:56:59.0","2012-01-12 12:57:14.0","2012-01-12 12:56:56.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","07","Inspect city tree","2012-02-02 00:00:00.0","5644 MURDOCH","B","Inspect City Tree","","347440","880242.00000000","1002743.00000000","CLOSED","FORESTRY,","16"
"","","","2013-06-28 10:50:51.477","2013-06-28 10:50:51.477","2012-01-12 16:11:03.0","Caller Name/# required","","Animals","15","Report stray cat(s)","2012-01-24 00:00:00.0","3959 MCDONALD","B","Stray Cat","","347506","890905.00000000","1006463.00000000","CLOSED","METRO ANIMAL,","15"
"","St. Louis","","2012-02-23 09:06:11.0","2012-02-23 09:06:12.0","2012-01-13 09:31:46.0","Vacant Building, Unsecured","","Prpty Insp Exterior","74","Vacant building needs to be boarded up","2012-02-03 00:00:00.0","8973 NEWBY ST","B","Vacnt Bldg Unsecured","","347594","895724.00000000","1051572.00000000","CLOSED","BUILDING DIV,","02"
"","","","2012-01-13 11:13:21.0","2012-01-13 11:15:12.0","2012-01-13 11:13:14.0","Inspect Private Tree","Trees on private property are the property owner's responsibility to maintain. However, Forestry can inspect potentially hazardous trees. ","Trees","24","Inspect private tree - possibly hazardous","2012-02-03 00:00:00.0","2746 GEYER","B","Inspect Private Tree","","347679","898650.00000000","1012240.00000000","CLOSED","FORESTRY,","06"
"","","","2012-01-17 16:30:38.0","2013-04-19 14:01:52.087","2012-01-13 11:34:28.0","Requires caller name and number","","Prpty Insp Interior","15","Insufficient heat","2012-01-25 00:00:00.0","4329 THOLOZAN AVE","B","Insufficient Heat","","347692","887684.00000000","1005004.00000000","CLOSED","COMM SANITATION,","15"
"","","","2013-06-28 11:01:30.397","2013-06-28 11:01:30.397","2012-01-13 13:13:22.0","Caller Name/# required","","Animals","05","Report stray cat(s)","2012-01-25 00:00:00.0","4175 BURGEN","B","Stray Cat","","347740","886354.00000000","998272.00000000","CLOSED","METRO ANIMAL,","13"
"","St. Louis","","2012-01-18 15:07:32.0","2013-05-06 11:52:12.0","2012-01-13 15:38:47.0","Derelict Vehicle - Private Property","","Vehicles","78","Derelict vehicle on private property","2012-02-14 00:00:00.0","1468 HAMILTON AVE","B","Derelict-Privt Ppty","","347801","882263.00000000","1033857.00000000","CLOSED","NST,","22"
"","St. Louis","","2012-01-18 15:03:54.0","2013-05-06 11:52:12.0","2012-01-13 15:45:26.0","Derelict Vehicle - Private Property","","Vehicles","70","Derelict vehicle on private property","2012-02-14 00:00:00.0","4018 DARBY ST","B","Derelict-Privt Ppty","","347803","885019.00000000","1040320.00000000","CLOSED","NST,","22"
"","","","2012-10-19 16:29:43.0","2012-10-19 16:29:43.0","2012-01-13 16:54:54.0","Short Term Initiativ","","NSO Initiatives","04","","2012-10-03 00:00:00.0","7801 DECATUR","B","Short Term Initiativ","","347828","883454.00000000","990983.00000000","CLOSED","NST,","12"
"","","","2012-07-19 15:31:14.0","2012-07-19 15:31:14.0","2012-01-13 19:01:15.0","Short Term Initiativ","","NSO Initiatives","06","","2012-10-03 00:00:00.0","5728 HOLLY HILLS AVE","B","Short Term Initiativ","","347846","879394.00000000","999245.00000000","CLOSED","NST,","12"
"","","","2012-01-30 16:18:16.0","2012-01-30 16:18:18.0","2012-01-17 11:44:32.0","Property Maintenance Code - Exterior","","Prpty Insp Comml","32","Inspect for exterior building code violations","2012-02-06 00:00:00.0","1427 MISSOURI","B","Ppty Maint Code-Ext","","348060","900633.00000000","1013673.00000000","CLOSED","BUILDING DIV,","07"
"","St. Louis","","2012-02-10 11:38:19.0","2012-02-10 11:38:57.0","2012-01-17 12:52:01.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","13","Inspect city tree","2012-02-06 00:00:00.0","2615 ALFRED AVE","B","Inspect City Tree","","348089","887864.00000000","1011080.00000000","CLOSED","FORESTRY,","08"
"","","","2012-01-17 15:30:36.0","2012-01-17 15:34:52.0","2012-01-17 15:25:31.0","City Tree Limb Down","","Trees","16","Limb from a city tree has fallen","2012-01-24 00:00:00.0","3442 MONTANA ST","B","City Tree Limb Down","","348157","893617.00000000","1001340.00000000","CLOSED","FORESTRY,","25"
"","","","2012-01-25 15:34:58.0","2012-01-25 15:35:01.0","2012-01-18 08:45:49.0","Illegal Use, Open Storage","Any zoning code violations, including derelict vehicles, appliances, etc. on private property","Prpty Insp Exterior","11","Inspect for violation of zoning code (including open storage)","2012-02-07 00:00:00.0","2531 CLIFTON ","B","Illegl Use-Opn Storg","","348257","878936.00000000","1013000.00000000","CLOSED","BUILDING DIV,","24"
"","St. Louis","","2012-02-23 11:28:28.0","2012-02-23 11:28:50.0","2012-01-18 11:09:49.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","16","Inspect city tree","2012-02-07 00:00:00.0","4110 OREGON AVE","B","Inspect City Tree","63118","348382","896388.00000000","1000510.00000000","CLOSED","FORESTRY,","20"
"","","","2012-01-24 15:25:36.0","2012-01-24 15:25:39.0","2012-01-18 13:32:03.0","Vacant Building, Unsecured","","Prpty Insp Exterior","68","Vacant building needs to be boarded up","2012-02-07 00:00:00.0","4133 TURNER","B","Vacnt Bldg Unsecured","","348448","897156.00000000","1034012.00000000","CLOSED","BUILDING DIV,","21"
"","St. Louis","","2016-11-21 09:01:11.0","2013-06-28 11:01:43.767","2012-01-18 13:40:12.0","Caller Name/# required","","Animals","59","Report stray cat(s)","2012-01-27 00:00:00.0","3714-6 MAFFITT AVE","B","Stray Cat","63113","348452","898960.00000000","1027457.00000000","CLOSED","METRO ANIMAL,","03"
"","St. Louis","","2012-01-19 09:10:50.0","2012-01-20 04:25:06.0","2012-01-18 16:06:55.0","Sign needs attention","Select this option for non-critical signs (street cleaning, no parking, etc.)","Street Sign/Painting","44","Traffic sign needs repair","2012-01-23 00:00:00.0","7101 WISE AVE","B","Sign needs attention","63117","348527","874897.00000000","1018384.00000000","CLOSED","TRAFFIC DIVISION, 511","28"
"","St. Louis","","2013-06-28 11:02:14.093","2013-06-28 11:02:14.093","2012-01-19 10:31:46.0","Caller Name/# required","","Animals","74","Report stray cat(s)","2012-01-30 00:00:00.0","920 ELIAS AVE","B","Stray Cat","","348667","896475.00000000","1051555.00000000","CLOSED","METRO ANIMAL,","02"
"","","","2012-01-23 10:18:20.0","2012-01-25 10:18:57.0","2012-01-19 11:06:22.0","Unsanitary Cond, Ext","","Prpty Insp Exterior","15","Unsanitary conditions -exterior","2012-02-08 00:00:00.0","3714-16 FAIRVIEW","B","Unsanitary Cond, Ext","","348693","892601.00000000","1005589.00000000","CLOSED","COMM SANITATION,","15"
